H,Tiempo
1,19.632076033333334
2,12.730634200000003
3,11.7214115
4,11.639244533333333
5,11.747014366666667
6,12.024017033333331
7,11.922910633333336
8,11.1365196
9,10.704808666666667
10,10.6526844
11,10.6661845
12,10.684198100000001
13,10.736909533333332
14,10.699874799999998
15,10.713168733333333
16,10.712391833333333
17,10.7292066
18,10.654048766666667
19,10.661392266666667
20,10.8285056
