H,Tiempo
1,23.802717267333332
2,20.780182532999998
3,13.420193367000001
4,13.013496467000001
5,12.901745666333333
6,12.684396700333332
7,12.910813566333333
8,12.918079233
9,12.926401499999999
10,13.116093166333334
11,13.5503302
12,13.742760132999999
13,13.071998899666667
14,13.026092833333335
15,12.951050167
16,13.021404433333332
17,13.083200400333332
18,13.1606586
19,12.983737766666666
20,13.010003199333333
