H,Tiempo
1,18.176470366666667
2,10.9815114
3,11.069618666666665
4,10.2457709
5,10.318119133333333
6,10.439453066666667
7,10.531751833333333
8,10.612794599999999
9,10.617021166666666
10,10.617408566666667
